ICM-Hydro_comp,er_n,deltaic(1)_chenier(2),upland_area_m2_outside_of_Morph_domain,water_area_m2_outside_of_Morph_domain,er,name
1,1,1,50743100,0,MRP,Maurepas
2,1,1,2323090,0,MRP,Maurepas
3,1,1,0,0,MRP,Maurepas
4,1,1,0,0,MRP,Maurepas
5,1,1,3519570,0,MRP,Maurepas
6,1,1,21301600,0,MRP,Maurepas
7,1,1,2421750,0,MRP,Maurepas
8,1,1,7574170,0,MRP,Maurepas
9,1,1,4877080,0,MRP,Maurepas
10,1,1,13462000,0,MRP,Maurepas
11,2,1,142464,0,LPO,Lake_Pontchartrain
12,2,1,137956,0,LPO,Lake_Pontchartrain
13,33,-9999,271391000,0,-9999,-9999
14,2,1,56305600,0,LPO,Lake_Pontchartrain
15,1,1,113591,0,MRP,Maurepas
16,1,1,0,0,MRP,Maurepas
17,1,1,0,0,MRP,Maurepas
18,1,1,0,0,MRP,Maurepas
19,1,1,0,0,MRP,Maurepas
20,1,1,0,0,MRP,Maurepas
21,1,1,0,0,MRP,Maurepas
22,1,1,0,0,MRP,Maurepas
23,1,1,0,0,MRP,Maurepas
24,1,1,0,0,MRP,Maurepas
25,1,1,30203.5,0,MRP,Maurepas
26,1,1,0,0,MRP,Maurepas
27,1,1,0,0,MRP,Maurepas
28,1,1,429745,0,MRP,Maurepas
29,1,1,4659480,0,MRP,Maurepas
30,1,1,0,0,MRP,Maurepas
31,1,1,138974,0,MRP,Maurepas
32,1,1,43419.7,0,MRP,Maurepas
33,1,1,0,0,MRP,Maurepas
34,1,1,88.61,0,MRP,Maurepas
35,2,1,95790.1,0,LPO,Lake_Pontchartrain
36,2,1,8093.19,0,LPO,Lake_Pontchartrain
37,2,1,66536.5,0,LPO,Lake_Pontchartrain
38,2,1,873773,0,LPO,Lake_Pontchartrain
39,2,1,0,0,LPO,Lake_Pontchartrain
40,2,1,0,0,LPO,Lake_Pontchartrain
41,2,1,37897.1,0,LPO,Lake_Pontchartrain
42,2,1,12110000,0,LPO,Lake_Pontchartrain
43,3,1,0,0,LBO,Lake_Borgne
44,3,1,15639.3,0,LBO,Lake_Borgne
45,3,1,9846860,0,LBO,Lake_Borgne
46,3,1,15649600,0,LBO,Lake_Borgne
47,3,1,5631900,0,LBO,Lake_Borgne
48,3,1,379660,0,LBO,Lake_Borgne
49,3,1,0,0,LBO,Lake_Borgne
50,3,1,0,0,LBO,Lake_Borgne
51,33,-9999,48612200,0,-9999,-9999
52,33,-9999,52949800,0,-9999,-9999
53,33,-9999,120115000,0,-9999,-9999
54,33,-9999,39051300,0,-9999,-9999
55,3,1,4950.13,0,LBO,Lake_Borgne
56,3,1,0,0,LBO,Lake_Borgne
57,3,1,0,85972.1,LBO,Lake_Borgne
58,3,1,0,0,LBO,Lake_Borgne
59,3,1,0,0,LBO,Lake_Borgne
60,3,1,0,0,LBO,Lake_Borgne
61,3,1,13878,0,LBO,Lake_Borgne
62,3,1,18878.1,0,LBO,Lake_Borgne
63,4,1,0,0,CHS,Chandeleur_Sound
64,4,1,0,0,CHS,Chandeleur_Sound
65,4,1,0,0,CHS,Chandeleur_Sound
66,4,1,0,0,CHS,Chandeleur_Sound
67,4,1,86604.4,0,CHS,Chandeleur_Sound
68,33,-9999,0,823979000,-9999,-9999
69,33,-9999,139253000,0,-9999,-9999
70,4,1,45306,0,CHS,Chandeleur_Sound
71,4,1,19753.2,0,CHS,Chandeleur_Sound
72,4,1,61878.9,0,CHS,Chandeleur_Sound
73,4,1,0,0,CHS,Chandeleur_Sound
74,4,1,0,0,CHS,Chandeleur_Sound
75,4,1,0,0,CHS,Chandeleur_Sound
76,4,1,0,0,CHS,Chandeleur_Sound
77,4,1,0,0,CHS,Chandeleur_Sound
78,4,1,0,0,CHS,Chandeleur_Sound
79,4,1,0,0,CHS,Chandeleur_Sound
80,3,1,389055,0,LBO,Lake_Borgne
81,3,1,56270.1,0,LBO,Lake_Borgne
82,3,1,981395,0,LBO,Lake_Borgne
83,6,1,238245,0,UBR,Upper_Breton
84,6,1,0,0,UBR,Upper_Breton
85,6,1,0,0,UBR,Upper_Breton
86,33,-9999,39949000,0,-9999,-9999
87,33,-9999,33040400,0,-9999,-9999
88,33,-9999,1040190,0,-9999,-9999
89,33,-9999,10418400,0,-9999,-9999
90,33,-9999,19937000,0,-9999,-9999
91,33,-9999,4548840,0,-9999,-9999
92,6,1,13971.3,0,UBR,Upper_Breton
93,6,1,15138.8,0,UBR,Upper_Breton
94,6,1,0,0,UBR,Upper_Breton
95,6,1,149547,0,UBR,Upper_Breton
96,6,1,0,0,UBR,Upper_Breton
97,6,1,0,0,UBR,Upper_Breton
98,6,1,0,0,UBR,Upper_Breton
99,6,1,0,0,UBR,Upper_Breton
100,6,1,453139,0,UBR,Upper_Breton
101,6,1,0,0,UBR,Upper_Breton
102,6,1,0,0,UBR,Upper_Breton
103,6,1,0,0,UBR,Upper_Breton
104,6,1,0,0,UBR,Upper_Breton
105,6,1,380963,0,UBR,Upper_Breton
106,6,1,0,0,UBR,Upper_Breton
107,6,1,0,0,UBR,Upper_Breton
108,6,1,0,0,UBR,Upper_Breton
109,6,1,0,0,UBR,Upper_Breton
110,6,1,0,0,UBR,Upper_Breton
111,6,1,0,0,UBR,Upper_Breton
112,6,1,0,0,UBR,Upper_Breton
113,6,1,0,0,UBR,Upper_Breton
114,6,1,0,0,UBR,Upper_Breton
115,6,1,0,0,UBR,Upper_Breton
116,6,1,0,0,UBR,Upper_Breton
117,6,1,0,0,UBR,Upper_Breton
118,6,1,0,0,UBR,Upper_Breton
119,6,1,174295,0,UBR,Upper_Breton
120,6,1,200621,0,UBR,Upper_Breton
121,33,-9999,14092100,0,-9999,-9999
122,6,1,0,0,UBR,Upper_Breton
123,6,1,0,0,UBR,Upper_Breton
124,6,1,0,0,UBR,Upper_Breton
125,6,1,0,0,UBR,Upper_Breton
126,6,1,0,0,UBR,Upper_Breton
127,7,1,0,0,LBR,Lower_Breton
128,6,1,0,0,UBR,Upper_Breton
129,6,1,93023.2,0,UBR,Upper_Breton
130,7,1,24421.8,0,LBR,Lower_Breton
131,7,1,119.074,0,LBR,Lower_Breton
132,7,1,96171.1,0,LBR,Lower_Breton
133,7,1,0,0,LBR,Lower_Breton
134,7,1,5396.73,0,LBR,Lower_Breton
135,7,1,15522.7,0,LBR,Lower_Breton
136,7,1,10205.5,0,LBR,Lower_Breton
137,6,1,0,0,UBR,Upper_Breton
138,7,1,0,0,LBR,Lower_Breton
139,7,1,0,0,LBR,Lower_Breton
140,7,1,0,0,LBR,Lower_Breton
141,7,1,0,0,LBR,Lower_Breton
142,7,1,0,0,LBR,Lower_Breton
143,4,1,0,0,CHS,Chandeleur_Sound
144,4,1,0,0,CHS,Chandeleur_Sound
145,33,-9999,77749400,0,-9999,-9999
146,33,-9999,153178000,0,-9999,-9999
147,11,1,19818.7,0,MBA,Mid_Barataria
148,11,1,714278,0,MBA,Mid_Barataria
149,11,1,0,0,MBA,Mid_Barataria
150,11,1,0,0,MBA,Mid_Barataria
151,11,1,36661.1,0,MBA,Mid_Barataria
152,11,1,3376040,0,MBA,Mid_Barataria
153,11,1,0,0,MBA,Mid_Barataria
154,11,1,0,0,MBA,Mid_Barataria
155,11,1,0,0,MBA,Mid_Barataria
156,11,1,18237.1,0,MBA,Mid_Barataria
157,11,1,39998300,0,MBA,Mid_Barataria
158,11,1,28447.7,0,MBA,Mid_Barataria
159,11,1,3190860,0,MBA,Mid_Barataria
160,11,1,35023000,0,MBA,Mid_Barataria
161,11,1,13264900,0,MBA,Mid_Barataria
162,10,1,28964300,0,UBA,Upper_Barataria
163,10,1,13145900,0,UBA,Upper_Barataria
164,10,1,744037,0,UBA,Upper_Barataria
165,10,1,153146,0,UBA,Upper_Barataria
166,10,1,0,0,UBA,Upper_Barataria
167,10,1,23750.3,0,UBA,Upper_Barataria
168,10,1,0,0,UBA,Upper_Barataria
169,10,1,3430210,0,UBA,Upper_Barataria
170,10,1,0,0,UBA,Upper_Barataria
171,10,1,18451800,0,UBA,Upper_Barataria
172,10,1,46239500,0,UBA,Upper_Barataria
173,10,1,42869800,0,UBA,Upper_Barataria
174,10,1,91553600,0,UBA,Upper_Barataria
175,10,1,2902590,0,UBA,Upper_Barataria
176,10,1,0,0,UBA,Upper_Barataria
177,10,1,312113,0,UBA,Upper_Barataria
178,10,1,1314840,0,UBA,Upper_Barataria
179,10,1,11329000,0,UBA,Upper_Barataria
180,10,1,23278800,0,UBA,Upper_Barataria
181,10,1,29743300,0,UBA,Upper_Barataria
182,10,1,44630400,0,UBA,Upper_Barataria
183,10,1,0,0,UBA,Upper_Barataria
184,10,1,0,0,UBA,Upper_Barataria
185,10,1,0,0,UBA,Upper_Barataria
186,10,1,3601670,0,UBA,Upper_Barataria
187,10,1,57357200,0,UBA,Upper_Barataria
188,33,-9999,72174000,0,-9999,-9999
189,33,-9999,9118460,0,-9999,-9999
190,33,-9999,23840800,0,-9999,-9999
191,33,-9999,23345700,0,-9999,-9999
192,13,1,177923,0,LBAne,Lower_Barataria_northeast
193,13,1,1503460,0,LBAne,Lower_Barataria_northeast
194,17,1,4169230,0,LBAse,Lower_Barataria_southeast
195,17,1,7780070,0,LBAse,Lower_Barataria_southeast
196,17,1,1532990,0,LBAse,Lower_Barataria_southeast
197,17,1,4588250,0,LBAse,Lower_Barataria_southeast
198,17,1,6768360,0,LBAse,Lower_Barataria_southeast
199,17,1,2034500,0,LBAse,Lower_Barataria_southeast
200,17,1,2677490,0,LBAse,Lower_Barataria_southeast
201,17,1,1854660,0,LBAse,Lower_Barataria_southeast
202,12,1,91000300,0,LBAnw,Lower_Barataria_northwest
203,15,1,5427460,0,LBAsw,Lower_Barataria_southwest
204,12,1,70752.2,0,LBAnw,Lower_Barataria_northwest
205,12,1,0,0,LBAnw,Lower_Barataria_northwest
206,12,1,0,0,LBAnw,Lower_Barataria_northwest
207,12,1,0,0,LBAnw,Lower_Barataria_northwest
208,12,1,0,0,LBAnw,Lower_Barataria_northwest
209,12,1,0,0,LBAnw,Lower_Barataria_northwest
210,12,1,0,0,LBAnw,Lower_Barataria_northwest
211,12,1,0,0,LBAnw,Lower_Barataria_northwest
212,12,1,81233.6,0,LBAnw,Lower_Barataria_northwest
213,12,1,17092,0,LBAnw,Lower_Barataria_northwest
214,12,1,0,0,LBAnw,Lower_Barataria_northwest
215,15,1,28786.6,0,LBAsw,Lower_Barataria_southwest
216,15,1,0,0,LBAsw,Lower_Barataria_southwest
217,15,1,0,0,LBAsw,Lower_Barataria_southwest
218,15,1,0,0,LBAsw,Lower_Barataria_southwest
219,15,1,0,0,LBAsw,Lower_Barataria_southwest
220,15,1,1310.35,0,LBAsw,Lower_Barataria_southwest
221,15,1,0,0,LBAsw,Lower_Barataria_southwest
222,15,1,0,0,LBAsw,Lower_Barataria_southwest
223,15,1,691200,0,LBAsw,Lower_Barataria_southwest
224,13,1,329868,0,LBAne,Lower_Barataria_northeast
225,13,1,21234.7,0,LBAne,Lower_Barataria_northeast
226,13,1,49127.6,0,LBAne,Lower_Barataria_northeast
227,13,1,89198.3,0,LBAne,Lower_Barataria_northeast
228,13,1,0,0,LBAne,Lower_Barataria_northeast
229,13,1,0,0,LBAne,Lower_Barataria_northeast
230,13,1,0,0,LBAne,Lower_Barataria_northeast
231,13,1,33659,0,LBAne,Lower_Barataria_northeast
232,13,1,0,0,LBAne,Lower_Barataria_northeast
233,13,1,0,0,LBAne,Lower_Barataria_northeast
234,13,1,0,0,LBAne,Lower_Barataria_northeast
235,13,1,15336.3,0,LBAne,Lower_Barataria_northeast
236,13,1,8157.81,0,LBAne,Lower_Barataria_northeast
237,13,1,0,0,LBAne,Lower_Barataria_northeast
238,13,1,0,0,LBAne,Lower_Barataria_northeast
239,13,1,0,0,LBAne,Lower_Barataria_northeast
240,13,1,0,0,LBAne,Lower_Barataria_northeast
241,13,1,0,0,LBAne,Lower_Barataria_northeast
242,13,1,0,0,LBAne,Lower_Barataria_northeast
243,17,1,0,0,LBAse,Lower_Barataria_southeast
244,17,1,0,0,LBAse,Lower_Barataria_southeast
245,17,1,70617.9,0,LBAse,Lower_Barataria_southeast
246,17,1,13438.4,0,LBAse,Lower_Barataria_southeast
247,13,1,0,0,LBAne,Lower_Barataria_northeast
248,13,1,0,0,LBAne,Lower_Barataria_northeast
249,13,1,0,0,LBAne,Lower_Barataria_northeast
250,13,1,0,0,LBAne,Lower_Barataria_northeast
251,17,1,0,0,LBAse,Lower_Barataria_southeast
252,17,1,0,0,LBAse,Lower_Barataria_southeast
253,17,1,0,0,LBAse,Lower_Barataria_southeast
254,17,1,0,0,LBAse,Lower_Barataria_southeast
255,17,1,0,0,LBAse,Lower_Barataria_southeast
256,17,1,12.9298,0,LBAse,Lower_Barataria_southeast
257,17,1,0,0,LBAse,Lower_Barataria_southeast
258,17,1,41269.3,0,LBAse,Lower_Barataria_southeast
259,17,1,32512.1,0,LBAse,Lower_Barataria_southeast
260,17,1,30055,0,LBAse,Lower_Barataria_southeast
261,17,1,0,0,LBAse,Lower_Barataria_southeast
262,17,1,0,0,LBAse,Lower_Barataria_southeast
263,17,1,0,0,LBAse,Lower_Barataria_southeast
264,9,1,43704.7,0,BFD,Birdsfoot_Delta
265,9,1,0,0,BFD,Birdsfoot_Delta
266,9,1,29052.7,0,BFD,Birdsfoot_Delta
267,9,1,0,0,BFD,Birdsfoot_Delta
268,9,1,0,0,BFD,Birdsfoot_Delta
269,9,1,0,0,BFD,Birdsfoot_Delta
270,9,1,0,0,BFD,Birdsfoot_Delta
271,9,1,0,0,BFD,Birdsfoot_Delta
272,9,1,0,0,BFD,Birdsfoot_Delta
273,9,1,0,0,BFD,Birdsfoot_Delta
274,9,1,0,0,BFD,Birdsfoot_Delta
275,9,1,0,0,BFD,Birdsfoot_Delta
276,9,1,0,0,BFD,Birdsfoot_Delta
277,9,1,0,0,BFD,Birdsfoot_Delta
278,9,1,0,0,BFD,Birdsfoot_Delta
279,9,1,0,0,BFD,Birdsfoot_Delta
280,9,1,0,0,BFD,Birdsfoot_Delta
281,9,1,0,0,BFD,Birdsfoot_Delta
282,9,1,0,0,BFD,Birdsfoot_Delta
283,9,1,0,0,BFD,Birdsfoot_Delta
284,9,1,0,0,BFD,Birdsfoot_Delta
285,9,1,0,0,BFD,Birdsfoot_Delta
286,9,1,0,4642470,BFD,Birdsfoot_Delta
287,9,1,0,14345.5,BFD,Birdsfoot_Delta
288,9,1,20060.4,0,BFD,Birdsfoot_Delta
289,9,1,0,0,BFD,Birdsfoot_Delta
290,9,1,0,0,BFD,Birdsfoot_Delta
291,9,1,0,0,BFD,Birdsfoot_Delta
292,9,1,27849.1,0,BFD,Birdsfoot_Delta
293,9,1,0,0,BFD,Birdsfoot_Delta
294,9,1,0,0,BFD,Birdsfoot_Delta
295,9,1,0,0,BFD,Birdsfoot_Delta
296,9,1,0,54410,BFD,Birdsfoot_Delta
297,9,1,0,25935.6,BFD,Birdsfoot_Delta
298,9,1,0,7038440,BFD,Birdsfoot_Delta
299,33,-9999,457957000,0,-9999,-9999
300,33,-9999,1346060000,0,-9999,-9999
301,33,-9999,1447100000,0,-9999,-9999
302,4,1,0,106231000,CHS,Chandeleur_Sound
303,4,1,0,103078000,CHS,Chandeleur_Sound
304,4,1,0,98880600,CHS,Chandeleur_Sound
305,4,1,0,97660900,CHS,Chandeleur_Sound
306,7,1,0,63558200,LBR,Lower_Breton
307,7,1,0,0,LBR,Lower_Breton
308,9,1,0,15094600,BFD,Birdsfoot_Delta
309,9,1,0,9586090,BFD,Birdsfoot_Delta
310,9,1,0,90817,BFD,Birdsfoot_Delta
311,9,1,0,66152.8,BFD,Birdsfoot_Delta
312,9,1,0,52529.5,BFD,Birdsfoot_Delta
313,17,1,0,48973.4,LBAse,Lower_Barataria_southeast
314,17,1,0,17585.4,LBAse,Lower_Barataria_southeast
315,17,1,0,86912.8,LBAse,Lower_Barataria_southeast
316,15,1,0,46265200,LBAsw,Lower_Barataria_southwest
317,33,-9999,0,128819000,-9999,-9999
318,33,-9999,0,162222000,-9999,-9999
319,33,-9999,0,172303000,-9999,-9999
320,33,-9999,0,281793000,-9999,-9999
321,9,1,0,323917000,BFD,Birdsfoot_Delta
322,33,-9999,0,325091000,-9999,-9999
323,33,-9999,0,463636000,-9999,-9999
324,33,-9999,0,384403000,-9999,-9999
325,33,-9999,0,559295000,-9999,-9999
326,33,-9999,0,347510000,-9999,-9999
327,33,-9999,0,318073000,-9999,-9999
328,33,-9999,0,180469000,-9999,-9999
329,33,-9999,0,146453000,-9999,-9999
330,33,-9999,0,558604000,-9999,-9999
331,33,-9999,0,422528000,-9999,-9999
332,33,-9999,0,316562000,-9999,-9999
333,33,-9999,0,369959000,-9999,-9999
334,33,-9999,0,334266000,-9999,-9999
335,33,-9999,0,366041000,-9999,-9999
336,33,-9999,0,540572000,-9999,-9999
337,33,-9999,0,1681590000,-9999,-9999
338,33,-9999,0,1699870000,-9999,-9999
339,33,-9999,0,1276610000,-9999,-9999
340,33,-9999,0,1226350000,-9999,-9999
341,33,-9999,0,531845000,-9999,-9999
342,33,-9999,0,441760000,-9999,-9999
343,33,-9999,0,450445000,-9999,-9999
344,33,-9999,0,340919000,-9999,-9999
345,33,-9999,0,605998000,-9999,-9999
346,33,-9999,0,1430380000,-9999,-9999
347,33,-9999,0,1938470000,-9999,-9999
348,33,-9999,0,1390770000,-9999,-9999
349,33,-9999,0,1114430000,-9999,-9999
350,33,-9999,0,1109250000,-9999,-9999
351,33,-9999,0,721891000,-9999,-9999
352,33,-9999,0,444511000,-9999,-9999
353,33,-9999,0,733689000,-9999,-9999
354,33,-9999,0,743050000,-9999,-9999
355,1,1,0,0,MRP,Maurepas
356,1,1,47159.6,0,MRP,Maurepas
357,1,1,0,0,MRP,Maurepas
358,1,1,0,0,MRP,Maurepas
359,2,1,6091.32,0,LPO,Lake_Pontchartrain
360,3,1,98.0334,0,LBO,Lake_Borgne
361,3,1,0,0,LBO,Lake_Borgne
362,3,1,0,0,LBO,Lake_Borgne
363,3,1,93627.1,0,LBO,Lake_Borgne
364,3,1,29858.4,0,LBO,Lake_Borgne
365,3,1,13979.6,0,LBO,Lake_Borgne
366,3,1,0,0,LBO,Lake_Borgne
367,3,1,235744,0,LBO,Lake_Borgne
368,3,1,0,0,LBO,Lake_Borgne
369,33,-9999,2591830,0,-9999,-9999
370,33,-9999,2293220,0,-9999,-9999
371,11,1,243249,0,MBA,Mid_Barataria
372,13,1,0,0,LBAne,Lower_Barataria_northeast
373,11,1,0,0,MBA,Mid_Barataria
374,7,1,381.054,0,LBR,Lower_Breton
375,2,1,0,0,LPO,Lake_Pontchartrain
376,9,1,0,0,BFD,Birdsfoot_Delta
377,9,1,0,0,BFD,Birdsfoot_Delta
378,9,1,0,0,BFD,Birdsfoot_Delta
379,9,1,0,0,BFD,Birdsfoot_Delta
380,9,1,2509.68,0,BFD,Birdsfoot_Delta
381,9,1,0,0,BFD,Birdsfoot_Delta
382,6,1,0,0,UBR,Upper_Breton
383,33,-9999,0,611165000,-9999,-9999
384,33,-9999,0,752396000,-9999,-9999
385,27,1,144419,0,ATD,Atchafalaya_Delta
386,28,1,0,126349,TVB,Teche_Vermilion_Bays
387,33,-9999,0,515225000,-9999,-9999
388,26,1,616031000,0,ATB,Atchafalaya_Basin
389,26,1,49779500,0,ATB,Atchafalaya_Basin
390,33,-9999,0,0,-9999,-9999
391,26,1,327599000,0,ATB,Atchafalaya_Basin
392,26,1,178232000,0,ATB,Atchafalaya_Basin
393,26,1,216500000,0,ATB,Atchafalaya_Basin
394,26,1,286337000,0,ATB,Atchafalaya_Basin
395,33,-9999,0,0,-9999,-9999
396,26,1,162029,0,ATB,Atchafalaya_Basin
397,26,1,2614510,0,ATB,Atchafalaya_Basin
398,28,1,0,0,TVB,Teche_Vermilion_Bays
399,28,1,6723.6,0,TVB,Teche_Vermilion_Bays
400,28,1,7561220,0,TVB,Teche_Vermilion_Bays
401,26,1,72369.4,0,ATB,Atchafalaya_Basin
402,26,1,0,0,ATB,Atchafalaya_Basin
403,26,1,0,0,ATB,Atchafalaya_Basin
404,26,1,0,0,ATB,Atchafalaya_Basin
405,26,1,85885.6,0,ATB,Atchafalaya_Basin
406,20,1,0,0,VRT,Verret
407,27,1,7942550,0,ATD,Atchafalaya_Delta
408,26,1,29877.8,0,ATB,Atchafalaya_Basin
409,26,1,0,0,ATB,Atchafalaya_Basin
410,19,1,0,0,UVR,Upper_Verret_Basin
411,26,1,0,0,ATB,Atchafalaya_Basin
412,28,1,0,0,TVB,Teche_Vermilion_Bays
413,19,1,92875200,0,UVR,Upper_Verret_Basin
414,26,1,138244,0,ATB,Atchafalaya_Basin
415,26,1,0,0,ATB,Atchafalaya_Basin
416,20,1,22913500,0,VRT,Verret
417,26,1,0,0,ATB,Atchafalaya_Basin
418,26,1,0,0,ATB,Atchafalaya_Basin
419,19,1,430559000,0,UVR,Upper_Verret_Basin
420,26,1,0,0,ATB,Atchafalaya_Basin
421,28,1,20202.3,0,TVB,Teche_Vermilion_Bays
422,28,1,0,0,TVB,Teche_Vermilion_Bays
423,28,1,0,0,TVB,Teche_Vermilion_Bays
424,27,1,59772.9,0,ATD,Atchafalaya_Delta
