er_n,er,SwampOrgAccum_g_cm^-2_yr^-1_lower,SwampOrgAccum_g_cm^-2_yr^-1_median,SwampOrgAccum_g_cm^-2_yr^-1_upper,FreshOrgAccum_g_cm^-2_yr^-1_lower,FreshOrgAccum_g_cm^-2_yr^-1_median,FreshOrgAccum_g_cm^-2_yr^-1_upper,InterOrgAccum_g_cm^-2_yr^-1_lower,InterOrgAccum_g_cm^-2_yr^-1_median,InterOrgAccum_g_cm^-2_yr^-1_upper,BrackOrgAccum_g_cm^-2_yr^-1_lower,BrackOrgAccum_g_cm^-2_yr^-1_median,BrackOrgAccum_g_cm^-2_yr^-1_upper,SalineOrgAccum_g_cm^-2_yr^-1_lower,SalineOrgAccum_g_cm^-2_yr^-1_median,SalineOrgAccum_g_cm^-2_yr^-1_upper,ActiveFreshOrgAccum_g_cm^-2_yr^-1_lower,ActiveFreshOrgAccum_g_cm^-2_yr^-1_median,ActiveFreshOrgAccum_g_cm^-2_yr^-1_upper
1,MRP,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
2,LPO,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
3,LBO,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
4,CHS,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
5,CHSbi,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
6,UBR,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
7,LBR,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
8,LBRbi,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
9,BFD,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
10,UBA,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
11,MBA,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
12,LBAnw,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
13,LBAne,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
14,LBAnebi,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
15,LBAsw,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
16,LBAswbi,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
17,LBAse,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
18,LBAsebi,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
19,UVR,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
20,VRT,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
21,ETB,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
22,ETBbi,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
23,PEN,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
24,WTE,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
25,WTEbi,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
26,ATB,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
27,ATD,0.079,0.093,0.11,0.073,0.089,0.107,0.068,0.076,0.085,0.058,0.065,0.074,0.07,0.082,0.097,0.095,0.095,0.095
28,TVB,0.079,0.093,0.11,0.04,0.058,0.085,0.033,0.04,0.048,0.035,0.048,0.05,0.038,0.038,0.038,0.095,0.095,0.095
29,MEL,0.079,0.093,0.11,0.04,0.058,0.085,0.033,0.04,0.048,0.035,0.048,0.05,0.038,0.038,0.038,0.095,0.095,0.095
30,CHR,0.079,0.093,0.11,0.04,0.058,0.085,0.033,0.04,0.048,0.035,0.048,0.05,0.038,0.038,0.038,0.095,0.095,0.095
31,CAL,0.079,0.093,0.11,0.04,0.058,0.085,0.033,0.04,0.048,0.035,0.048,0.05,0.038,0.038,0.038,0.095,0.095,0.095
32,SAB,0.079,0.093,0.11,0.04,0.058,0.085,0.033,0.04,0.048,0.035,0.048,0.05,0.038,0.038,0.038,0.095,0.095,0.095
33,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
